team,team_name,epa_off_per_play,epa_pass_off,epa_rush_off,epa_def_allowed_per_play,epa_pass_def_allowed,epa_rush_def_allowed,net_epa_per_play,last_updated,source
DET,Detroit Lions,0.15,0.3,-0.02,-0.1,-0.05,-0.18,0.25,2025-10-07 11:02:00,sumersports_week5_oct7
IND,Indianapolis Colts,0.16,0.23,0.07,-0.08,-0.09,-0.06,0.24,2025-10-07 11:02:00,sumersports_week5_oct7
BUF,Buffalo Bills,0.18,0.23,0.15,0.02,-0.02,0.07,0.16,2025-10-07 11:02:00,sumersports_week5_oct7
GB,Green Bay Packers,0.15,0.28,0.0,0.01,0.07,-0.08,0.13999999999999999,2025-10-07 11:02:00,sumersports_week5_oct7
KC,Kansas City Chiefs,0.12,0.13,0.08,-0.01,-0.04,0.02,0.13,2025-10-07 11:02:00,sumersports_week5_oct7
HOU,Houston Texans,0.0,-0.02,0.02,-0.12,-0.19,-0.01,0.12,2025-10-07 11:02:00,sumersports_week5_oct7
DEN,Denver Broncos,0.02,-0.02,0.07,-0.09,-0.07,-0.11,0.11,2025-10-07 11:02:00,sumersports_week5_oct7
MIN,Minnesota Vikings,-0.03,-0.08,0.03,-0.13,-0.3,0.05,0.1,2025-10-07 11:02:00,sumersports_week5_oct7
PHI,Philadelphia Eagles,0.03,0.05,0.01,-0.05,-0.07,-0.02,0.08,2025-10-07 11:02:00,sumersports_week5_oct7
JAX,Jacksonville Jaguars,0.01,-0.08,0.13,-0.07,-0.12,0.04,0.08,2025-10-07 11:02:00,sumersports_week5_oct7
WAS,Washington Commanders,0.07,0.01,0.13,0.01,0.09,-0.1,0.060000000000000005,2025-10-07 11:02:00,sumersports_week5_oct7
SF,San Francisco 49ers,0.03,0.18,-0.16,-0.03,0.02,-0.11,0.06,2025-10-07 11:02:00,sumersports_week5_oct7
LA,Los Angeles Rams,0.02,0.0,0.03,-0.03,-0.02,-0.03,0.05,2025-10-07 11:02:00,sumersports_week5_oct7
SEA,Seattle Seahawks,0.06,0.1,0.01,0.01,0.12,-0.18,0.049999999999999996,2025-10-07 11:02:00,sumersports_week5_oct7
BAL,Baltimore Ravens,0.21,0.28,0.12,0.17,0.21,0.12,0.03999999999999998,2025-10-07 11:02:00,sumersports_week5_oct7
NE,New England Patriots,0.08,0.23,-0.15,0.05,0.18,-0.14,0.03,2025-10-07 11:02:00,sumersports_week5_oct7
TB,Tampa Bay Buccaneers,0.05,0.18,-0.13,0.03,0.11,-0.1,0.020000000000000004,2025-10-07 11:02:00,sumersports_week5_oct7
NO,New Orleans Saints,-0.01,0.03,-0.07,-0.01,0.04,-0.06,0.0,2025-10-07 11:02:00,sumersports_week5_oct7
ATL,Atlanta Falcons,-0.07,-0.15,0.03,-0.05,-0.13,0.05,-0.020000000000000004,2025-10-07 11:02:00,sumersports_week5_oct7
PIT,Pittsburgh Steelers,0.0,0.01,-0.01,0.04,0.11,-0.05,-0.04,2025-10-07 11:02:00,sumersports_week5_oct7
LAC,Los Angeles Chargers,-0.08,-0.14,0.0,-0.04,-0.07,0.01,-0.04,2025-10-07 11:02:00,sumersports_week5_oct7
CHI,Chicago Bears,-0.05,-0.01,-0.09,0.01,0.03,-0.02,-0.060000000000000005,2025-10-07 11:02:00,sumersports_week5_oct7
ARI,Arizona Cardinals,-0.09,-0.17,0.02,-0.02,0.06,-0.16,-0.06999999999999999,2025-10-07 11:02:00,sumersports_week5_oct7
DAL,Dallas Cowboys,0.12,0.17,0.03,0.19,0.3,0.03,-0.07,2025-10-07 11:02:00,sumersports_week5_oct7
CIN,Cincinnati Bengals,-0.02,0.05,-0.12,0.11,0.18,0.01,-0.13,2025-10-07 11:02:00,sumersports_week5_oct7
CAR,Carolina Panthers,-0.08,-0.13,-0.01,0.05,0.09,-0.01,-0.13,2025-10-07 11:02:00,sumersports_week5_oct7
CLE,Cleveland Browns,-0.19,-0.25,-0.1,-0.03,0.12,-0.22,-0.16,2025-10-07 11:02:00,sumersports_week5_oct7
NYG,New York Giants,-0.11,-0.19,0.0,0.06,0.04,0.1,-0.16999999999999998,2025-10-07 11:02:00,sumersports_week5_oct7
MIA,Miami Dolphins,0.05,-0.02,0.13,0.23,0.26,0.17,-0.18,2025-10-07 11:02:00,sumersports_week5_oct7
TEN,Tennessee Titans,-0.12,-0.17,-0.05,0.08,0.13,0.02,-0.2,2025-10-07 11:02:00,sumersports_week5_oct7
LV,Las Vegas Raiders,-0.14,-0.17,-0.1,0.06,0.19,-0.14,-0.2,2025-10-07 11:02:00,sumersports_week5_oct7
NYJ,New York Jets,-0.13,-0.17,-0.08,0.15,0.26,0.02,-0.28,2025-10-07 11:02:00,sumersports_week5_oct7
