away_team,home_team,favorite_team,underdog_team,spread_line,total_line
Vikings,Chargers,Chargers,Vikings,-3.5,44.5
Dolphins,Falcons,Falcons,Dolphins,-7.5,44.5
Jets,Bengals,Bengals,Jets,-6.5,44.5
Browns,Patriots,Patriots,Browns,-6.5,40.5
Giants,Eagles,Eagles,Giants,-7.5,44.5
Bills,Panthers,Bills,Panthers,-7.5,45.5
Bears,Ravens,Ravens,Bears,-6.5,49.5
49ers,Texans,Texans,49ers,-1.5,41.5
Buccaneers,Saints,Buccaneers,Saints,-3.5,46.5
Cowboys,Broncos,Broncos,Cowboys,-3.5,51.5
Titans,Colts,Colts,Titans,-14.5,47.5
Packers,Steelers,Packers,Steelers,-3.5,44.5
Commanders,Chiefs,Chiefs,Commanders,-10.5,47.5
